TL, 99, 194
RZ, 77, 153
FY, 42, 155
CA, 42, 165
XE, 45, 160
PL, 49, 141
DE, 86, 178
HR, 89, 197
VT, 72, 181
CP, 95, 150
EN, 97, 153
PZ, 82, 144
QW, 73, 196
JD, 52, 189
JD, 96, 164
SG, 93, 156
OR, 92, 140
JE, 66, 141
PM, 88, 184
XJ, 43, 175
JR, 40, 168
BQ, 88, 156
KJ, 55, 196
DW, 46, 145
SX, 47, 161
ED, 52, 178
YY, 84, 161
OC, 75, 159
XQ, 61, 192
RF, 74, 196
UW, 55, 196
SV, 80, 191
CH, 42, 149
OU, 40, 148
LM, 40, 145
NU, 69, 182
IP, 76, 171
HP, 78, 180
PE, 89, 168
OY, 50, 180
FH, 57, 161
LZ, 77, 181
HV, 80, 165
TI, 45, 167
PA, 77, 180
XO, 66, 151
MR, 56, 156
HC, 75, 144
HT, 99, 161
FM, 95, 198
OJ, 66, 192
RA, 55, 167
TV, 91, 150
WU, 92, 188
MG, 97, 178
TF, 87, 183
SQ, 91, 174
GE, 67, 153
GK, 75, 153
XD, 78, 197
BJ, 62, 190
QL, 76, 176
XH, 51, 166
KQ, 45, 152
XX, 48, 164
RR, 72, 188
ZY, 88, 172
XY, 69, 149
VV, 59, 195
LQ, 66, 147
MF, 60, 191
BG, 74, 163
EN, 85, 143
IQ, 98, 172
YN, 44, 191
TS, 97, 176
FI, 98, 143
ZL, 54, 147
HB, 98, 164
VJ, 74, 199
HH, 76, 148
EE, 56, 151
KC, 96, 152
BY, 59, 184
DU, 94, 164
EP, 95, 155
KP, 94, 195
XX, 65, 170
QN, 80, 193
XB, 53, 189
BK, 56, 197
FA, 90, 157
KN, 58, 165
PL, 45, 178
JD, 64, 158
WO, 52, 191
ZJ, 89, 186
OD, 93, 188
GK, 72, 170
DK, 54, 148
TT, 94, 144
NV, 65, 178
AR, 81, 182
XU, 96, 176
OA, 42, 165
PR, 92, 152
IN, 92, 178
WZ, 50, 169
KK, 90, 184
HU, 48, 166
